"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"PPP3CC",2518.62692536277,2314.84194492649,2310.32833662453,2809.21549567404,2677.78052974158,2579.21294679265,2298.44938926825,2329.23424445185,2187.14048277805,1709.94919280599,1775.48192017559,1624.38129907234
"PPP3R1",3749.85667594309,3407.88106231365,4691.52353830405,2584.68054131368,3341.73047003939,2981.97090041589,2470.95477591236,4202.66089841041,1391.03853159337,3079.40306069489,4531.38077201502,2771.19176773305
"PPP4C",2973.81570466692,2475.99236604892,2419.89488979086,1872.66349508691,2032.35811024898,2688.27095947936,1528.44871475141,1493.21915230966,1397.29669367308,2735.2978771441,3113.27281627346,3026.69630153174
"PPP4R1",2969.81967006051,3174.27025057906,4180.5340953043,970.101807579104,974.25243117979,879.293564333807,774.326017985832,751.22887559498,555.761583208123,1298.5573586914,1890.56727638847,1671.71900992443
"PPP4R1L",1511.41137301983,2103.51081346828,1163.75873413151,154.544841201327,154.241673583312,146.670102801117,171.212756783624,178.013815740108,278.608206944328,191.619558091943,177.850587079322,305.890998683025
"PPP4R2",4551.27501301011,4089.11646240859,4156.4437067034,2274.76456056345,2485.74330946445,2652.02692205882,2233.19591822442,3197.85524896484,1864.5584644403,2736.22398391841,3652.34817461186,2635.54842857561
"PPP4R3A",13068.5624200234,13493.5592578468,13875.5728129494,3103.77749701058,3544.55767602055,4034.55997082344,3875.40121351806,3624.19760662231,3061.01120962157,2981.3637793095,3643.94831152121,3777.35555285112
"PPP4R3B",4272.20833426147,5493.16604593242,5281.13681948364,3897.05757463202,4251.60048296104,4119.64386961786,4802.71013424341,5261.41024060508,3043.00447540376,3274.88100417259,4151.07635803321,3653.18310849332
"PPP4R4",2.37686048520132,21.4527899938061,0,5.31620673282976,9.8824025253338,1.30299786104335,5.88985171915839,2.34585369533913,1.24115778267507,6.46161348895254,0.719825176762332,6.84540779720082
"PPP5C",438.698050544955,499.345738451704,201.893499418594,880.523660497491,1309.10240127792,1457.13846668358,1532.66235530829,1245.05693760246,1381.32795335019,1587.8379476009,2038.66454078799,2383.84358527819
"PPP5D1",17.6058840708659,24.8681852030443,39.2179614660983,20.3779990886213,18.8054733995272,25.159437900434,11.9585507330454,11.1252209286384,18.7320634780985,15.5604081028583,8.56603755912808,10.6021091916667
"PPP6C",4035.36726537078,3039.7085326907,4314.33675065528,3991.18938343108,4382.47441693744,3494.27186978736,3886.21960622099,5015.42081954507,1956.60476046813,3783.88187688995,4141.20051596994,2807.19736698779
"PPP6R1",7687.59998149507,5896.42391193905,5958.09254551261,2654.30360362542,3749.14435098513,4699.10680487305,3970.26230068984,3726.20684960666,3251.29784080902,5225.64049721705,7452.41569061616,9491.22905652764
"PPP6R2",1104.34930155007,847.694634478464,986.976109097834,1819.16504625389,2082.73090055624,2282.56763298721,2373.37230237585,1906.86774949425,2567.88812899752,1347.78937359233,1275.10951717179,1745.31251029443
"PPP6R3",6082.82336327977,6474.65946692303,6073.01727066588,2865.3090899974,3533.03334125105,3633.98559109374,3699.889588669,3590.50769343401,2697.59685426951,3360.06771654172,4218.38265626119,3913.04756681789
"PPRC1",2499.38107863452,2339.58627445302,1858.96362684078,1194.49749154972,1144.65185553065,1481.89682703861,1401.13783360869,1216.48424241891,1661.48056991754,1820.69174876619,1598.26181564712,2342.93371604048
"PPT1",418.24878482023,248.480041607251,251.212431719292,2560.38593594939,2503.68243842319,2688.37863855815,2574.86435224156,2204.42097930208,965.664741916124,3771.72900203555,4654.73624869549,3982.54485080687
"PPT2",58.8063849586545,35.0762098236705,77.1168936452214,33.1433920745677,68.7763404442976,67.4292620632221,188.981782405267,72.6945939314018,59.7953370521778,65.2976585286773,44.2981725873645,47.0406084840639
"PPT2-EGFL8",0,0,3.24757601587775,0,0,0,1.23726657273514,2.44810225667577,0,0,6.42747231051147,0
